Date,High,Low,Open,Close,Volume,Adj Close,MktRF,SMB,HML,RF,Yest_Close,stock_return
2018-01-03,1205.489990234375,1188.300048828125,1188.300048828125,1204.199951171875,3108800,1204.199951171875,0.59,-0.39,-0.22,0.005,1189.010009765625,0.012775284717110336
2018-01-04,1215.8699951171875,1204.6600341796875,1205.0,1209.5899658203125,3022100,1209.5899658203125,0.42,-0.26,0.24,0.005,1204.199951171875,0.004476013010291333
2018-01-05,1229.1400146484375,1210.0,1217.510009765625,1229.1400146484375,3544700,1229.1400146484375,0.66,-0.35,-0.26,0.005,1209.5899658203125,0.016162542167639977
2018-01-08,1253.0799560546875,1232.030029296875,1236.0,1246.8699951171875,4279500,1246.8699951171875,0.19,-0.16,0.06,0.005,1229.1400146484375,0.014424703660649421
2018-01-09,1259.3299560546875,1241.760009765625,1256.9000244140625,1252.699951171875,3661300,1252.699951171875,0.15,-0.34,-0.04,0.005,1246.8699951171875,0.004675672746571762
2018-01-10,1254.3299560546875,1237.22998046875,1245.1500244140625,1254.3299560546875,2686000,1254.3299560546875,-0.07,0.06,0.61,0.005,1252.699951171875,0.001301193379378409
2018-01-11,1276.77001953125,1256.4599609375,1259.739990234375,1276.6800537109375,3125000,1276.6800537109375,0.87,1.13,0.32,0.005,1254.3299560546875,0.01781835596635911
2018-01-12,1305.760009765625,1273.3900146484375,1273.3900146484375,1305.199951171875,5443700,1305.199951171875,0.66,-0.31,0.16,0.005,1276.6800537109375,0.022339111023187412
2018-01-16,1339.93994140625,1292.300048828125,1323.0,1304.8599853515625,7220700,1304.8599853515625,-0.49,-1.03,0.0,0.005,1305.199951171875,-0.0002604702980621945
2018-01-17,1314.0,1280.8800048828125,1312.239990234375,1295.0,5253800,1295.0,0.95,-0.04,-0.12,0.005,1304.8599853515625,-0.007556355058972836
2018-01-18,1304.5999755859375,1284.02001953125,1293.949951171875,1293.3199462890625,4026900,1293.3199462890625,-0.18,-0.5,-0.23,0.005,1295.0,-0.0012973387729247104
2018-01-19,1313.0,1292.989990234375,1312.0,1294.5799560546875,4578500,1294.5799560546875,0.57,0.94,-0.06,0.005,1293.3199462890625,0.0009742444390812654
